match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,4.5,Matthews,Ecclestone,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,4.6,Matthews,Ecclestone,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.1,Yastika,Ismail,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.2,Yastika,Ismail,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.3,Yastika,Ismail,4,1,0,0,0,1,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.3,Yastika,Ismail,0,1,0,0,1,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.4,Matthews,Ismail,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.5,Yastika,Ismail,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,5.6,Yastika,Ismail,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,6.1,Matthews,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,6.2,Matthews,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,6.3,Matthews,Gayakwad,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,6.4,Yastika,Gayakwad,6,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,6.5,Yastika,Gayakwad,0,0,0,0,0,0,caught,Yastika,Simran Shaikh
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,6.6,Nat Sciver-Brunt,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,7.1,Matthews,Ecclestone,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,7.2,Matthews,Ecclestone,0,0,0,0,0,0,caught,Matthews,Ecclestone
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,7.3,Kaur,Ecclestone,0,0,0,0,0,0,,,
